instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,rush_hour,day_type,temp_category,cnt_log,data_source
1881,2011-03-24,Summer,0,3,3,0,4,1,2,0.28,1.0,0.194,1,0,1,Non-Rush Hour,Weekday,Cold,0.6931471805599453,hour
1882,2011-03-24,Summer,0,3,4,0,4,1,2,0.28,1.0,0.194,0,1,1,Non-Rush Hour,Weekday,Cold,0.6931471805599453,hour
1883,2011-03-24,Summer,0,3,5,0,4,1,2,0.28,0.93,0.2239,1,8,9,Non-Rush Hour,Weekday,Cold,2.302585092994046,hour
1884,2011-03-24,Summer,0,3,6,0,4,1,2,0.28,0.93,0.2239,0,41,41,Non-Rush Hour,Weekday,Cold,3.737669618283368,hour
1885,2011-03-24,Summer,0,3,7,0,4,1,3,0.26,1.0,0.2239,2,106,108,Rush Hour,Weekday,Cold,4.691347882229144,hour
1886,2011-03-24,Summer,0,3,8,0,4,1,3,0.26,1.0,0.2985,4,120,124,Rush Hour,Weekday,Cold,4.8283137373023015,hour
1887,2011-03-24,Summer,0,3,9,0,4,1,2,0.26,0.93,0.2239,3,94,97,Rush Hour,Weekday,Cold,4.584967478670572,hour
1888,2011-03-24,Summer,0,3,10,0,4,1,2,0.26,0.93,0.3284,10,55,65,Non-Rush Hour,Weekday,Cold,4.189654742026425,hour
1889,2011-03-24,Summer,0,3,11,0,4,1,2,0.3,0.81,0.2985,10,61,71,Non-Rush Hour,Weekday,Cold,4.276666119016055,hour
1890,2011-03-24,Summer,0,3,12,0,4,1,2,0.3,0.7,0.3284,12,82,94,Non-Rush Hour,Weekday,Cold,4.553876891600541,hour
1891,2011-03-24,Summer,0,3,13,0,4,1,2,0.32,0.7,0.2239,11,90,101,Non-Rush Hour,Weekday,Mild,4.624972813284271,hour
1892,2011-03-24,Summer,0,3,14,0,4,1,2,0.3,0.7,0.1343,17,66,83,Non-Rush Hour,Weekday,Cold,4.430816798843313,hour
1893,2011-03-24,Summer,0,3,15,0,4,1,2,0.3,0.7,0.2537,13,77,90,Non-Rush Hour,Weekday,Cold,4.51085950651685,hour
1894,2011-03-24,Summer,0,3,16,0,4,1,2,0.3,0.65,0.2239,6,78,84,Rush Hour,Weekday,Cold,4.442651256490317,hour
1895,2011-03-24,Summer,0,3,17,0,4,1,2,0.3,0.7,0.2239,12,221,233,Rush Hour,Weekday,Cold,5.455321115357702,hour
1896,2011-03-24,Summer,0,3,18,0,4,1,2,0.3,0.61,0.2985,17,197,214,Rush Hour,Weekday,Cold,5.3706380281276624,hour
1897,2011-03-24,Summer,0,3,19,0,4,1,1,0.3,0.56,0.3881,16,122,138,Rush Hour,Weekday,Cold,4.934473933130692,hour
1898,2011-03-24,Summer,0,3,20,0,4,1,1,0.28,0.61,0.2836,8,110,118,Non-Rush Hour,Weekday,Cold,4.77912349311153,hour
1899,2011-03-24,Summer,0,3,21,0,4,1,1,0.26,0.65,0.2239,11,67,78,Non-Rush Hour,Weekday,Cold,4.3694478524670215,hour
1900,2011-03-24,Summer,0,3,22,0,4,1,1,0.26,0.65,0.1642,3,59,62,Non-Rush Hour,Weekday,Cold,4.143134726391533,hour
1901,2011-03-24,Summer,0,3,23,0,4,1,1,0.24,0.65,0.194,9,24,33,Non-Rush Hour,Weekday,Cold,3.5263605246161616,hour
1902,2011-03-25,Summer,0,3,0,0,5,1,1,0.24,0.6,0.194,1,17,18,Non-Rush Hour,Weekday,Cold,2.9444389791664403,hour
1903,2011-03-25,Summer,0,3,1,0,5,1,1,0.2,0.69,0.1642,0,5,5,Non-Rush Hour,Weekday,Cold,1.791759469228055,hour
1904,2011-03-25,Summer,0,3,2,0,5,1,1,0.2,0.69,0.2239,0,5,5,Non-Rush Hour,Weekday,Cold,1.791759469228055,hour
1905,2011-03-25,Summer,0,3,3,0,5,1,1,0.2,0.69,0.1045,0,2,2,Non-Rush Hour,Weekday,Cold,1.0986122886681096,hour
1906,2011-03-25,Summer,0,3,4,0,5,1,1,0.18,0.74,0.1045,3,2,5,Non-Rush Hour,Weekday,Cold,1.791759469228055,hour
1907,2011-03-25,Summer,0,3,5,0,5,1,1,0.18,0.74,0.1642,0,9,9,Non-Rush Hour,Weekday,Cold,2.302585092994046,hour
1908,2011-03-25,Summer,0,3,6,0,5,1,1,0.18,0.74,0.2239,0,32,32,Non-Rush Hour,Weekday,Cold,3.49650756146648,hour
1909,2011-03-25,Summer,0,3,7,0,5,1,1,0.2,0.59,0.3582,4,100,104,Rush Hour,Weekday,Cold,4.653960350157523,hour
1910,2011-03-25,Summer,0,3,8,0,5,1,1,0.22,0.51,0.2836,9,228,237,Rush Hour,Weekday,Cold,5.472270673671475,hour
1911,2011-03-25,Summer,0,3,9,0,5,1,1,0.24,0.48,0.2985,16,150,166,Rush Hour,Weekday,Cold,5.117993812416755,hour
1912,2011-03-25,Summer,0,3,10,0,5,1,1,0.26,0.48,0.194,15,53,68,Non-Rush Hour,Weekday,Cold,4.23410650459726,hour
1913,2011-03-25,Summer,0,3,11,0,5,1,1,0.3,0.45,0.2836,17,58,75,Non-Rush Hour,Weekday,Cold,4.330733340286331,hour
1914,2011-03-25,Summer,0,3,12,0,5,1,1,0.32,0.42,0.2537,37,108,145,Non-Rush Hour,Weekday,Mild,4.983606621708336,hour
1915,2011-03-25,Summer,0,3,13,0,5,1,1,0.32,0.39,0.194,34,104,138,Non-Rush Hour,Weekday,Mild,4.934473933130692,hour
1916,2011-03-25,Summer,0,3,14,0,5,1,1,0.36,0.32,0.3284,30,103,133,Non-Rush Hour,Weekday,Mild,4.897839799950911,hour
1917,2011-03-25,Summer,0,3,15,0,5,1,2,0.34,0.36,0.2537,43,79,122,Non-Rush Hour,Weekday,Mild,4.812184355372417,hour
1918,2011-03-25,Summer,0,3,16,0,5,1,2,0.34,0.34,0.2985,23,127,150,Rush Hour,Weekday,Mild,5.017279836814924,hour
1919,2011-03-25,Summer,0,3,17,0,5,1,2,0.32,0.36,0.3582,23,202,225,Rush Hour,Weekday,Mild,5.420534999272286,hour
1920,2011-03-25,Summer,0,3,18,0,5,1,1,0.3,0.39,0.2537,8,190,198,Rush Hour,Weekday,Cold,5.293304824724492,hour
1921,2011-03-25,Summer,0,3,19,0,5,1,2,0.3,0.36,0.2836,9,126,135,Rush Hour,Weekday,Cold,4.912654885736052,hour
1922,2011-03-25,Summer,0,3,20,0,5,1,2,0.3,0.39,0.1343,6,75,81,Non-Rush Hour,Weekday,Cold,4.406719247264253,hour
1923,2011-03-25,Summer,0,3,21,0,5,1,2,0.3,0.39,0.1642,11,64,75,Non-Rush Hour,Weekday,Cold,4.330733340286331,hour
1924,2011-03-25,Summer,0,3,22,0,5,1,2,0.28,0.38,0.3284,3,40,43,Non-Rush Hour,Weekday,Cold,3.784189633918261,hour
1925,2011-03-25,Summer,0,3,23,0,5,1,2,0.26,0.38,0.2836,8,31,39,Non-Rush Hour,Weekday,Cold,3.688879454113936,hour
1926,2011-03-26,Summer,0,3,0,0,6,0,2,0.26,0.38,0.2836,3,25,28,Non-Rush Hour,Weekend,Cold,3.367295829986474,hour
1927,2011-03-26,Summer,0,3,1,0,6,0,1,0.26,0.38,0.2985,3,24,27,Non-Rush Hour,Weekend,Cold,3.332204510175204,hour
1928,2011-03-26,Summer,0,3,2,0,6,0,1,0.22,0.44,0.2239,4,21,25,Non-Rush Hour,Weekend,Cold,3.258096538021482,hour
1929,2011-03-26,Summer,0,3,3,0,6,0,1,0.2,0.47,0.194,2,7,9,Non-Rush Hour,Weekend,Cold,2.302585092994046,hour
1930,2011-03-26,Summer,0,3,4,0,6,0,1,0.22,0.44,0.2239,2,4,6,Non-Rush Hour,Weekend,Cold,1.9459101490553128,hour
1931,2011-03-26,Summer,0,3,5,0,6,0,1,0.2,0.51,0.194,0,8,8,Non-Rush Hour,Weekend,Cold,2.19722457733622,hour
1932,2011-03-26,Summer,0,3,6,0,6,0,1,0.18,0.55,0.194,2,8,10,Non-Rush Hour,Weekend,Cold,2.3978952727983707,hour
1933,2011-03-26,Summer,0,3,7,0,6,0,1,0.2,0.51,0.194,18,23,41,Rush Hour,Weekend,Cold,3.737669618283368,hour
1934,2011-03-26,Summer,0,3,8,0,6,0,1,0.22,0.44,0.1343,24,42,66,Rush Hour,Weekend,Cold,4.204692619390966,hour
1935,2011-03-26,Summer,0,3,9,0,6,0,1,0.24,0.41,0.1343,32,68,100,Rush Hour,Weekend,Cold,4.61512051684126,hour
1936,2011-03-26,Summer,0,3,10,0,6,0,1,0.26,0.41,0.1642,32,93,125,Non-Rush Hour,Weekend,Cold,4.836281906951478,hour
1937,2011-03-26,Summer,0,3,11,0,6,0,1,0.28,0.38,0.1642,75,93,168,Non-Rush Hour,Weekend,Cold,5.1298987149230735,hour
1938,2011-03-26,Summer,0,3,12,0,6,0,1,0.3,0.36,0.194,98,129,227,Non-Rush Hour,Weekend,Cold,5.429345628954441,hour
1939,2011-03-26,Summer,0,3,13,0,6,0,1,0.32,0.33,0.2239,94,145,239,Non-Rush Hour,Weekend,Mild,5.480638923341991,hour
1940,2011-03-26,Summer,0,3,14,0,6,0,1,0.34,0.29,0.2239,93,123,216,Non-Rush Hour,Weekend,Mild,5.37989735354046,hour
1941,2011-03-26,Summer,0,3,15,0,6,0,1,0.34,0.29,0.194,110,109,219,Non-Rush Hour,Weekend,Mild,5.393627546352361,hour
1942,2011-03-26,Summer,0,3,16,0,6,0,1,0.34,0.23,0.194,118,130,248,Rush Hour,Weekend,Mild,5.517452896464707,hour
1943,2011-03-26,Summer,0,3,17,0,6,0,1,0.32,0.24,0.2239,102,101,203,Rush Hour,Weekend,Mild,5.318119993844216,hour
1944,2011-03-26,Summer,0,3,18,0,6,0,2,0.32,0.21,0.1642,64,89,153,Rush Hour,Weekend,Mild,5.0369526024136295,hour
1945,2011-03-26,Summer,0,3,19,0,6,0,2,0.28,0.45,0.2537,45,93,138,Rush Hour,Weekend,Cold,4.934473933130692,hour
1946,2011-03-26,Summer,0,3,20,0,6,0,2,0.28,0.45,0.2537,18,67,85,Non-Rush Hour,Weekend,Cold,4.454347296253507,hour
1947,2011-03-26,Summer,0,3,21,0,6,0,2,0.26,0.44,0.194,15,36,51,Non-Rush Hour,Weekend,Cold,3.951243718581428,hour
1948,2011-03-26,Summer,0,3,22,0,6,0,2,0.28,0.41,0.2239,17,46,63,Non-Rush Hour,Weekend,Cold,4.158883083359672,hour
1949,2011-03-26,Summer,0,3,23,0,6,0,2,0.26,0.44,0.2836,10,31,41,Non-Rush Hour,Weekend,Cold,3.737669618283368,hour
1950,2011-03-27,Summer,0,3,0,0,0,0,2,0.26,0.41,0.1642,5,26,31,Non-Rush Hour,Weekend,Cold,3.4657359027997265,hour
1951,2011-03-27,Summer,0,3,1,0,0,0,2,0.24,0.52,0.194,3,17,20,Non-Rush Hour,Weekend,Cold,3.044522437723423,hour
1952,2011-03-27,Summer,0,3,2,0,0,0,3,0.22,0.55,0.194,6,15,21,Non-Rush Hour,Weekend,Cold,3.091042453358316,hour
1953,2011-03-27,Summer,0,3,3,0,0,0,3,0.2,0.69,0.2239,0,14,14,Non-Rush Hour,Weekend,Cold,2.70805020110221,hour
1954,2011-03-27,Summer,0,3,4,0,0,0,3,0.18,0.74,0.1642,1,5,6,Non-Rush Hour,Weekend,Cold,1.9459101490553128,hour
1955,2011-03-27,Summer,0,3,6,0,0,0,3,0.16,0.86,0.1343,0,2,2,Non-Rush Hour,Weekend,Cold,1.0986122886681096,hour
1956,2011-03-27,Summer,0,3,7,0,0,0,3,0.16,0.86,0.1642,0,7,7,Rush Hour,Weekend,Cold,2.079441541679836,hour
1957,2011-03-27,Summer,0,3,8,0,0,0,1,0.2,0.69,0.2239,6,8,14,Rush Hour,Weekend,Cold,2.70805020110221,hour
1958,2011-03-27,Summer,0,3,9,0,0,0,1,0.22,0.55,0.1343,17,37,54,Rush Hour,Weekend,Cold,4.007333185232471,hour
1959,2011-03-27,Summer,0,3,10,0,0,0,2,0.22,0.55,0.2239,27,59,86,Non-Rush Hour,Weekend,Cold,4.465908118654584,hour
1960,2011-03-27,Summer,0,3,11,0,0,0,2,0.24,0.48,0.1642,23,85,108,Non-Rush Hour,Weekend,Cold,4.691347882229144,hour
1961,2011-03-27,Summer,0,3,12,0,0,0,2,0.26,0.44,0.2239,43,120,163,Non-Rush Hour,Weekend,Cold,5.099866427824199,hour
1962,2011-03-27,Summer,0,3,13,0,0,0,1,0.3,0.39,0.2239,47,100,147,Non-Rush Hour,Weekend,Cold,4.997212273764115,hour
1963,2011-03-27,Summer,0,3,14,0,0,0,1,0.32,0.36,0.1642,61,103,164,Non-Rush Hour,Weekend,Mild,5.10594547390058,hour
1964,2011-03-27,Summer,0,3,15,0,0,0,1,0.32,0.36,0.2836,61,111,172,Non-Rush Hour,Weekend,Mild,5.153291594497779,hour
1965,2011-03-27,Summer,0,3,16,0,0,0,1,0.34,0.34,0.194,45,98,143,Rush Hour,Weekend,Mild,4.969813299576001,hour
1966,2011-03-27,Summer,0,3,17,0,0,0,1,0.32,0.31,0.2537,50,109,159,Rush Hour,Weekend,Mild,5.075173815233827,hour
1967,2011-03-27,Summer,0,3,18,0,0,0,1,0.3,0.33,0.194,32,105,137,Rush Hour,Weekend,Cold,4.927253685157205,hour
1968,2011-03-27,Summer,0,3,19,0,0,0,1,0.3,0.31,0.2239,23,80,103,Rush Hour,Weekend,Cold,4.6443908991413725,hour
1969,2011-03-27,Summer,0,3,20,0,0,0,1,0.28,0.36,0.1642,7,50,57,Non-Rush Hour,Weekend,Cold,4.060443010546419,hour
1970,2011-03-27,Summer,0,3,21,0,0,0,1,0.26,0.41,0.1642,7,29,36,Non-Rush Hour,Weekend,Cold,3.610917912644224,hour
1971,2011-03-27,Summer,0,3,22,0,0,0,1,0.26,0.41,0.1642,5,25,30,Non-Rush Hour,Weekend,Cold,3.4339872044851463,hour
1972,2011-03-27,Summer,0,3,23,0,0,0,1,0.26,0.44,0.194,3,16,19,Non-Rush Hour,Weekend,Cold,2.995732273553991,hour
1973,2011-03-28,Summer,0,3,0,0,1,1,1,0.22,0.55,0.194,1,11,12,Non-Rush Hour,Weekday,Cold,2.5649493574615367,hour
1974,2011-03-28,Summer,0,3,1,0,1,1,1,0.22,0.44,0.194,2,4,6,Non-Rush Hour,Weekday,Cold,1.9459101490553128,hour
1975,2011-03-28,Summer,0,3,2,0,1,1,1,0.22,0.44,0.1642,0,5,5,Non-Rush Hour,Weekday,Cold,1.791759469228055,hour
1976,2011-03-28,Summer,0,3,3,0,1,1,1,0.22,0.44,0.1642,0,2,2,Non-Rush Hour,Weekday,Cold,1.0986122886681096,hour
1977,2011-03-28,Summer,0,3,5,0,1,1,1,0.18,0.43,0.194,0,8,8,Non-Rush Hour,Weekday,Cold,2.19722457733622,hour
1978,2011-03-28,Summer,0,3,6,0,1,1,1,0.18,0.34,0.2836,0,40,40,Non-Rush Hour,Weekday,Cold,3.713572066704308,hour
1979,2011-03-28,Summer,0,3,7,0,1,1,1,0.2,0.32,0.3284,6,104,110,Rush Hour,Weekday,Cold,4.709530201312334,hour
1980,2011-03-28,Summer,0,3,8,0,1,1,1,0.2,0.34,0.2239,15,239,254,Rush Hour,Weekday,Cold,5.541263545158426,hour
1981,2011-03-28,Summer,0,3,9,0,1,1,2,0.22,0.32,0.2239,12,109,121,Rush Hour,Weekday,Cold,4.804021044733257,hour
1982,2011-03-28,Summer,0,3,10,0,1,1,1,0.24,0.3,0.194,22,47,69,Non-Rush Hour,Weekday,Cold,4.248495242049359,hour
1983,2011-03-28,Summer,0,3,11,0,1,1,2,0.26,0.3,0.2836,18,39,57,Non-Rush Hour,Weekday,Cold,4.060443010546419,hour
1984,2011-03-28,Summer,0,3,12,0,1,1,2,0.26,0.25,0.194,8,71,79,Non-Rush Hour,Weekday,Cold,4.382026634673881,hour
1985,2011-03-28,Summer,0,3,13,0,1,1,2,0.3,0.24,0.2239,14,69,83,Non-Rush Hour,Weekday,Cold,4.430816798843313,hour
1986,2011-03-28,Summer,0,3,14,0,1,1,1,0.32,0.22,0.2239,15,65,80,Non-Rush Hour,Weekday,Mild,4.394449154672439,hour
1987,2011-03-28,Summer,0,3,15,0,1,1,1,0.32,0.24,0.2836,19,53,72,Non-Rush Hour,Weekday,Mild,4.290459441148391,hour
1988,2011-03-28,Summer,0,3,16,0,1,1,1,0.34,0.23,0.2239,15,117,132,Rush Hour,Weekday,Mild,4.890349128221754,hour
1989,2011-03-28,Summer,0,3,17,0,1,1,1,0.34,0.23,0.2985,25,227,252,Rush Hour,Weekday,Mild,5.53338948872752,hour
1990,2011-03-28,Summer,0,3,18,0,1,1,1,0.32,0.21,0.2836,21,220,241,Rush Hour,Weekday,Mild,5.488937726156687,hour
1991,2011-03-28,Summer,0,3,19,0,1,1,1,0.3,0.22,0.1343,17,156,173,Rush Hour,Weekday,Cold,5.159055299214529,hour
1992,2011-03-28,Summer,0,3,20,0,1,1,1,0.32,0.22,0.1045,5,107,112,Non-Rush Hour,Weekday,Mild,4.727387818712341,hour
1993,2011-03-28,Summer,0,3,21,0,1,1,1,0.32,0.21,0.1343,6,55,61,Non-Rush Hour,Weekday,Mild,4.127134385045092,hour
1994,2011-03-28,Summer,0,3,22,0,1,1,1,0.3,0.22,0.2239,0,40,40,Non-Rush Hour,Weekday,Cold,3.713572066704308,hour
1995,2011-03-28,Summer,0,3,23,0,1,1,1,0.28,0.24,0.2985,1,18,19,Non-Rush Hour,Weekday,Cold,2.995732273553991,hour
1996,2011-03-29,Summer,0,3,0,0,2,1,1,0.26,0.28,0.3284,1,15,16,Non-Rush Hour,Weekday,Cold,2.833213344056216,hour
1997,2011-03-29,Summer,0,3,1,0,2,1,1,0.24,0.32,0.2985,0,4,4,Non-Rush Hour,Weekday,Cold,1.6094379124341005,hour
1998,2011-03-29,Summer,0,3,2,0,2,1,1,0.24,0.32,0.2985,0,3,3,Non-Rush Hour,Weekday,Cold,1.3862943611198906,hour
1999,2011-03-29,Summer,0,3,3,0,2,1,1,0.24,0.32,0.2985,2,1,3,Non-Rush Hour,Weekday,Cold,1.3862943611198906,hour
2000,2011-03-29,Summer,0,3,4,0,2,1,1,0.2,0.44,0.1642,1,1,2,Non-Rush Hour,Weekday,Cold,1.0986122886681096,hour
2001,2011-03-29,Summer,0,3,5,0,2,1,1,0.22,0.37,0.2537,0,8,8,Non-Rush Hour,Weekday,Cold,2.19722457733622,hour
2002,2011-03-29,Summer,0,3,6,0,2,1,1,0.22,0.41,0.2985,4,46,50,Non-Rush Hour,Weekday,Cold,3.9318256327243257,hour
2003,2011-03-29,Summer,0,3,7,0,2,1,1,0.22,0.41,0.3582,5,128,133,Rush Hour,Weekday,Cold,4.897839799950911,hour
2004,2011-03-29,Summer,0,3,8,0,2,1,1,0.24,0.35,0.3582,19,268,287,Rush Hour,Weekday,Cold,5.662960480135946,hour
2005,2011-03-29,Summer,0,3,9,0,2,1,1,0.28,0.28,0.3881,16,156,172,Rush Hour,Weekday,Cold,5.153291594497779,hour
2006,2011-03-29,Summer,0,3,10,0,2,1,1,0.3,0.24,0.2985,13,46,59,Non-Rush Hour,Weekday,Cold,4.0943445622221,hour
2007,2011-03-29,Summer,0,3,11,0,2,1,2,0.34,0.25,0.3881,18,63,81,Non-Rush Hour,Weekday,Mild,4.406719247264253,hour
2008,2011-03-29,Summer,0,3,12,0,2,1,1,0.34,0.25,0.1642,29,77,106,Non-Rush Hour,Weekday,Mild,4.672828834461906,hour
2009,2011-03-29,Summer,0,3,13,0,2,1,1,0.34,0.25,0.2985,24,80,104,Non-Rush Hour,Weekday,Mild,4.653960350157523,hour
2010,2011-03-29,Summer,0,3,14,0,2,1,1,0.36,0.25,0.2537,20,66,86,Non-Rush Hour,Weekday,Mild,4.465908118654584,hour
2011,2011-03-29,Summer,0,3,15,0,2,1,1,0.38,0.25,0.2239,22,65,87,Non-Rush Hour,Weekday,Mild,4.477336814478207,hour
2012,2011-03-29,Summer,0,3,16,0,2,1,1,0.38,0.22,0.1642,12,124,136,Rush Hour,Weekday,Mild,4.919980925828125,hour
2013,2011-03-29,Summer,0,3,17,0,2,1,1,0.4,0.2,0.1343,34,265,299,Rush Hour,Weekday,Mild,5.703782474656201,hour
2014,2011-03-29,Summer,0,3,18,0,2,1,1,0.36,0.21,0.0896,42,252,294,Rush Hour,Weekday,Mild,5.68697535633982,hour
2015,2011-03-29,Summer,0,3,19,0,2,1,1,0.34,0.23,0.194,20,170,190,Rush Hour,Weekday,Mild,5.25227342804663,hour
2016,2011-03-29,Summer,0,3,20,0,2,1,1,0.36,0.21,0.0896,13,119,132,Non-Rush Hour,Weekday,Mild,4.890349128221754,hour
2017,2011-03-29,Summer,0,3,21,0,2,1,1,0.34,0.42,0.194,8,75,83,Non-Rush Hour,Weekday,Mild,4.430816798843313,hour
2018,2011-03-29,Summer,0,3,22,0,2,1,1,0.34,0.49,0.194,6,49,55,Non-Rush Hour,Weekday,Mild,4.02535169073515,hour
2019,2011-03-29,Summer,0,3,23,0,2,1,2,0.32,0.57,0.1045,8,27,35,Non-Rush Hour,Weekday,Mild,3.58351893845611,hour
2020,2011-03-30,Summer,0,3,0,0,3,1,2,0.32,0.57,0.194,3,8,11,Non-Rush Hour,Weekday,Mild,2.4849066497880004,hour
2021,2011-03-30,Summer,0,3,1,0,3,1,1,0.32,0.39,0.194,1,9,10,Non-Rush Hour,Weekday,Mild,2.3978952727983707,hour
2022,2011-03-30,Summer,0,3,2,0,3,1,2,0.32,0.57,0.194,0,4,4,Non-Rush Hour,Weekday,Mild,1.6094379124341005,hour
2023,2011-03-30,Summer,0,3,3,0,3,1,2,0.32,0.49,0.194,0,4,4,Non-Rush Hour,Weekday,Mild,1.6094379124341005,hour
2024,2011-03-30,Summer,0,3,4,0,3,1,2,0.32,0.57,0.194,1,0,1,Non-Rush Hour,Weekday,Mild,0.6931471805599453,hour
2025,2011-03-30,Summer,0,3,5,0,3,1,2,0.3,0.56,0.194,0,7,7,Non-Rush Hour,Weekday,Cold,2.079441541679836,hour
2026,2011-03-30,Summer,0,3,6,0,3,1,2,0.3,0.49,0.1343,4,44,48,Non-Rush Hour,Weekday,Cold,3.8918202981106265,hour
2027,2011-03-30,Summer,0,3,7,0,3,1,2,0.32,0.45,0.1045,8,128,136,Rush Hour,Weekday,Mild,4.919980925828125,hour
2028,2011-03-30,Summer,0,3,8,0,3,1,2,0.32,0.49,0.1642,16,247,263,Rush Hour,Weekday,Mild,5.575949103146316,hour
2029,2011-03-30,Summer,0,3,9,0,3,1,2,0.32,0.45,0.2239,7,147,154,Rush Hour,Weekday,Mild,5.043425116919247,hour
2030,2011-03-30,Summer,0,3,10,0,3,1,2,0.34,0.46,0.2239,13,51,64,Non-Rush Hour,Weekday,Mild,4.174387269895637,hour
2031,2011-03-30,Summer,0,3,11,0,3,1,2,0.34,0.46,0.2537,26,64,90,Non-Rush Hour,Weekday,Mild,4.51085950651685,hour
2032,2011-03-30,Summer,0,3,12,0,3,1,2,0.34,0.46,0.1642,15,65,80,Non-Rush Hour,Weekday,Mild,4.394449154672439,hour
2033,2011-03-30,Summer,0,3,13,0,3,1,2,0.36,0.46,0.2239,14,84,98,Non-Rush Hour,Weekday,Mild,4.59511985013459,hour
2034,2011-03-30,Summer,0,3,14,0,3,1,2,0.36,0.46,0.2985,16,64,80,Non-Rush Hour,Weekday,Mild,4.394449154672439,hour
2035,2011-03-30,Summer,0,3,15,0,3,1,3,0.28,0.81,0.2985,14,56,70,Non-Rush Hour,Weekday,Cold,4.262679877041316,hour
2036,2011-03-30,Summer,0,3,16,0,3,1,3,0.28,0.87,0.2537,0,36,36,Rush Hour,Weekday,Cold,3.610917912644224,hour
2037,2011-03-30,Summer,0,3,17,0,3,1,3,0.26,0.93,0.1045,11,105,116,Rush Hour,Weekday,Cold,4.762173934797756,hour
2038,2011-03-30,Summer,0,3,18,0,3,1,2,0.26,0.93,0.2239,6,79,85,Rush Hour,Weekday,Cold,4.454347296253507,hour
2039,2011-03-30,Summer,0,3,19,0,3,1,2,0.26,0.93,0.2239,5,67,72,Rush Hour,Weekday,Cold,4.290459441148391,hour
2040,2011-03-30,Summer,0,3,20,0,3,1,3,0.24,0.93,0.2985,4,40,44,Non-Rush Hour,Weekday,Cold,3.80666248977032,hour
2041,2011-03-30,Summer,0,3,21,0,3,1,2,0.24,0.93,0.2537,0,27,27,Non-Rush Hour,Weekday,Cold,3.332204510175204,hour
2042,2011-03-30,Summer,0,3,22,0,3,1,3,0.24,0.93,0.2239,3,21,24,Non-Rush Hour,Weekday,Cold,3.218875824868201,hour
2043,2011-03-30,Summer,0,3,23,0,3,1,3,0.24,0.93,0.2836,1,11,12,Non-Rush Hour,Weekday,Cold,2.5649493574615367,hour
2044,2011-03-31,Summer,0,3,0,0,4,1,3,0.24,0.93,0.2239,0,3,3,Non-Rush Hour,Weekday,Cold,1.3862943611198906,hour
2045,2011-03-31,Summer,0,3,1,0,4,1,3,0.24,0.93,0.194,1,4,5,Non-Rush Hour,Weekday,Cold,1.791759469228055,hour
2046,2011-03-31,Summer,0,3,2,0,4,1,3,0.24,0.93,0.194,0,5,5,Non-Rush Hour,Weekday,Cold,1.791759469228055,hour
2047,2011-03-31,Summer,0,3,3,0,4,1,3,0.24,0.93,0.2239,0,1,1,Non-Rush Hour,Weekday,Cold,0.6931471805599453,hour
2048,2011-03-31,Summer,0,3,4,0,4,1,3,0.24,0.93,0.2537,0,2,2,Non-Rush Hour,Weekday,Cold,1.0986122886681096,hour
2049,2011-03-31,Summer,0,3,5,0,4,1,3,0.24,0.93,0.2239,0,8,8,Non-Rush Hour,Weekday,Cold,2.19722457733622,hour
2050,2011-03-31,Summer,0,3,6,0,4,1,3,0.24,0.93,0.2985,2,34,36,Non-Rush Hour,Weekday,Cold,3.610917912644224,hour
2051,2011-03-31,Summer,0,3,7,0,4,1,3,0.24,0.93,0.2537,5,87,92,Rush Hour,Weekday,Cold,4.532599493153256,hour
2052,2011-03-31,Summer,0,3,8,0,4,1,2,0.24,1.0,0.2537,7,185,192,Rush Hour,Weekday,Cold,5.262690188904886,hour
2053,2011-03-31,Summer,0,3,9,0,4,1,3,0.26,0.93,0.2537,6,126,132,Rush Hour,Weekday,Cold,4.890349128221754,hour
2054,2011-03-31,Summer,0,3,10,0,4,1,3,0.26,0.93,0.2537,15,54,69,Non-Rush Hour,Weekday,Cold,4.248495242049359,hour
2055,2011-03-31,Summer,0,3,11,0,4,1,3,0.28,0.93,0.194,6,52,58,Non-Rush Hour,Weekday,Cold,4.07753744390572,hour
2056,2011-03-31,Summer,0,3,12,0,4,1,3,0.28,0.93,0.194,17,73,90,Non-Rush Hour,Weekday,Cold,4.51085950651685,hour
2057,2011-03-31,Summer,0,3,13,0,4,1,3,0.3,0.87,0.1343,13,55,68,Non-Rush Hour,Weekday,Cold,4.23410650459726,hour
2058,2011-03-31,Summer,0,3,14,0,4,1,3,0.3,0.87,0.1343,27,49,76,Non-Rush Hour,Weekday,Cold,4.343805421853684,hour
2059,2011-03-31,Summer,0,3,15,0,4,1,3,0.3,0.87,0.2985,4,61,65,Non-Rush Hour,Weekday,Cold,4.189654742026425,hour
2060,2011-03-31,Summer,0,3,16,0,4,1,2,0.3,0.87,0.2537,13,72,85,Rush Hour,Weekday,Cold,4.454347296253507,hour
2061,2011-03-31,Summer,0,3,17,0,4,1,2,0.3,0.87,0.2537,15,153,168,Rush Hour,Weekday,Cold,5.1298987149230735,hour
2062,2011-03-31,Summer,0,3,18,0,4,1,2,0.3,0.87,0.1343,12,165,177,Rush Hour,Weekday,Cold,5.181783550292085,hour
