instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,day_type,temp_category,cnt_log
199,2011-07-18,Fall,0,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,841,3617,4458,Weekday,Warm,8.402679804627477
200,2011-07-19,Fall,0,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,752,3789,4541,Weekday,Warm,8.421122722665503
201,2011-07-20,Fall,0,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817,644,3688,4332,Weekday,Warm,8.374015421739909
202,2011-07-21,Fall,0,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,632,3152,3784,Weekday,Warm,8.23880116587155
203,2011-07-22,Fall,0,7,0,5,1,1,0.848333,0.840896,0.580417,0.1331,562,2825,3387,Weekday,Warm,8.127995055771946
204,2011-07-23,Fall,0,7,0,6,0,1,0.849167,0.804287,0.5,0.131221,987,2298,3285,Weekend,Warm,8.097426298597213
205,2011-07-24,Fall,0,7,0,0,0,1,0.83,0.794829,0.550833,0.169171,1050,2556,3606,Weekend,Warm,8.19063168090354
206,2011-07-25,Fall,0,7,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,568,3272,3840,Weekday,Warm,8.253488028345904
207,2011-07-26,Fall,0,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258,750,3840,4590,Weekday,Warm,8.431853144249223
208,2011-07-27,Fall,0,7,0,3,1,1,0.775,0.690667,0.402917,0.183463,755,3901,4656,Weekday,Warm,8.446126742982377
209,2011-07-28,Fall,0,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,606,3784,4390,Weekday,Warm,8.387312270561717
210,2011-07-29,Fall,0,7,0,5,1,1,0.838333,0.785967,0.5425,0.174138,670,3176,3846,Weekday,Warm,8.255048902752295
211,2011-07-30,Fall,0,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537,1559,2916,4475,Weekend,Warm,8.406485069431817
212,2011-07-31,Fall,0,7,0,0,0,1,0.805833,0.729796,0.480833,0.164813,1524,2778,4302,Weekend,Warm,8.3670677328386
213,2011-08-01,Fall,0,8,0,1,1,1,0.771667,0.703292,0.550833,0.156717,729,3537,4266,Weekday,Warm,8.358666283188
214,2011-08-02,Fall,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,801,4044,4845,Weekday,Warm,8.48590890137647
215,2011-08-03,Fall,0,8,0,3,1,2,0.731667,0.679937,0.6575,0.135583,467,3107,3574,Weekday,Warm,8.181720455128108
216,2011-08-04,Fall,0,8,0,4,1,2,0.71,0.664788,0.7575,0.19715,799,3777,4576,Weekday,Warm,8.428799040653642
217,2011-08-05,Fall,0,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,1023,3843,4866,Weekday,Warm,8.490233009833455
218,2011-08-06,Fall,0,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,1521,2773,4294,Weekend,Warm,8.365206834418355
219,2011-08-07,Fall,0,8,0,0,0,1,0.7425,0.715292,0.752917,0.201487,1298,2487,3785,Weekend,Warm,8.239065331769268
220,2011-08-08,Fall,0,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,846,3480,4326,Weekday,Warm,8.372629740224884
221,2011-08-09,Fall,0,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,907,3695,4602,Weekday,Warm,8.434463543817241
222,2011-08-10,Fall,0,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,884,3896,4780,Weekday,Warm,8.472405008626103
223,2011-08-11,Fall,0,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796,812,3980,4792,Weekday,Warm,8.474911799159631
224,2011-08-12,Fall,0,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,1051,3854,4905,Weekday,Warm,8.498214224818435
225,2011-08-13,Fall,0,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,1504,2646,4150,Weekend,Warm,8.33110454805304
226,2011-08-14,Fall,0,8,0,0,0,2,0.676667,0.624388,0.8175,0.222633,1338,2482,3820,Weekend,Warm,8.2482674474469
227,2011-08-15,Fall,0,8,0,1,1,1,0.665833,0.616167,0.712083,0.208954,775,3563,4338,Weekday,Warm,8.37539918579835
228,2011-08-16,Fall,0,8,0,2,1,1,0.700833,0.645837,0.578333,0.236329,721,4004,4725,Weekday,Warm,8.460834457746854
229,2011-08-17,Fall,0,8,0,3,1,1,0.723333,0.666671,0.575417,0.143667,668,4026,4694,Weekday,Warm,8.454253391642363
230,2011-08-18,Fall,0,8,0,4,1,1,0.711667,0.662258,0.654583,0.233208,639,3166,3805,Weekday,Warm,8.244334047856094
231,2011-08-19,Fall,0,8,0,5,1,2,0.685,0.633221,0.722917,0.139308,797,3356,4153,Weekday,Warm,8.331827004436057
232,2011-08-20,Fall,0,8,0,6,0,1,0.6975,0.648996,0.674167,0.104467,1914,3277,5191,Weekend,Warm,8.554874258383926
233,2011-08-21,Fall,0,8,0,0,0,1,0.710833,0.675525,0.77,0.248754,1249,2624,3873,Weekend,Warm,8.262042843966942
234,2011-08-22,Fall,0,8,0,1,1,1,0.691667,0.638254,0.47,0.27675,833,3925,4758,Weekday,Warm,8.46779284112111
235,2011-08-23,Fall,0,8,0,2,1,1,0.640833,0.606067,0.455417,0.146763,1281,4614,5895,Weekday,Warm,8.682029433869172
236,2011-08-24,Fall,0,8,0,3,1,1,0.673333,0.630692,0.605,0.253108,949,4181,5130,Weekday,Warm,8.543055850941965
237,2011-08-25,Fall,0,8,0,4,1,2,0.684167,0.645854,0.771667,0.210833,435,3107,3542,Weekday,Warm,8.172729104865471
238,2011-08-26,Fall,0,8,0,5,1,1,0.7,0.659733,0.76125,0.0839625,768,3893,4661,Weekday,Warm,8.447199819595703
239,2011-08-27,Fall,0,8,0,6,0,2,0.68,0.635556,0.85,0.375617,226,889,1115,Weekend,Warm,7.017506142941256
240,2011-08-28,Fall,0,8,0,0,0,1,0.707059,0.647959,0.561765,0.304659,1415,2919,4334,Weekend,Warm,8.374476889214643
241,2011-08-29,Fall,0,8,0,1,1,1,0.636667,0.607958,0.554583,0.159825,729,3905,4634,Weekday,Warm,8.441391477999955
242,2011-08-30,Fall,0,8,0,2,1,1,0.639167,0.594704,0.548333,0.125008,775,4429,5204,Weekday,Warm,8.557374981049069
243,2011-08-31,Fall,0,8,0,3,1,1,0.656667,0.611121,0.597917,0.0833333,688,4370,5058,Weekday,Warm,8.528924114291936
244,2011-09-01,Fall,0,9,0,4,1,1,0.655,0.614921,0.639167,0.141796,783,4332,5115,Weekday,Warm,8.540128162698734
245,2011-09-02,Fall,0,9,0,5,1,2,0.643333,0.604808,0.727083,0.139929,875,3852,4727,Weekday,Warm,8.461257559085935
246,2011-09-03,Fall,0,9,0,6,0,1,0.669167,0.633213,0.716667,0.185325,1935,2549,4484,Weekend,Warm,8.408493774492896
247,2011-09-04,Fall,0,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467,2521,2419,4940,Weekend,Warm,8.50532301884575
248,2011-09-05,Fall,0,9,1,1,0,2,0.673333,0.625646,0.790417,0.212696,1236,2115,3351,Weekday,Warm,8.117312461601975
249,2011-09-06,Fall,0,9,0,2,1,3,0.54,0.5152,0.886957,0.343943,204,2506,2710,Weekday,Mild,7.905072849498666
250,2011-09-07,Fall,0,9,0,3,1,3,0.599167,0.544229,0.917083,0.0970208,118,1878,1996,Weekday,Mild,7.599401333415815
251,2011-09-08,Fall,0,9,0,4,1,3,0.633913,0.555361,0.939565,0.192748,153,1689,1842,Weekday,Warm,7.519149957669823
252,2011-09-09,Fall,0,9,0,5,1,2,0.65,0.578946,0.897917,0.124379,417,3127,3544,Weekday,Warm,8.173293438966228
253,2011-09-10,Fall,0,9,0,6,0,1,0.66,0.607962,0.75375,0.153608,1750,3595,5345,Weekend,Warm,8.584103896698863
254,2011-09-11,Fall,0,9,0,0,0,1,0.653333,0.609229,0.71375,0.115054,1633,3413,5046,Weekend,Warm,8.526549286340263
255,2011-09-12,Fall,0,9,0,1,1,1,0.644348,0.60213,0.692174,0.088913,690,4023,4713,Weekday,Warm,8.458292083496076
256,2011-09-13,Fall,0,9,0,2,1,1,0.650833,0.603554,0.7125,0.141804,701,4062,4763,Weekday,Warm,8.46884293047519
257,2011-09-14,Fall,0,9,0,3,1,1,0.673333,0.6269,0.697083,0.1673,647,4138,4785,Weekday,Warm,8.47345026846832
258,2011-09-15,Fall,0,9,0,4,1,2,0.5775,0.553671,0.709167,0.271146,428,3231,3659,Weekday,Mild,8.205218426395412
259,2011-09-16,Fall,0,9,0,5,1,2,0.469167,0.461475,0.590417,0.164183,742,4018,4760,Weekday,Mild,8.46821300919452
260,2011-09-17,Fall,0,9,0,6,0,2,0.491667,0.478512,0.718333,0.189675,1434,3077,4511,Weekend,Mild,8.414495793177895
261,2011-09-18,Fall,0,9,0,0,0,1,0.5075,0.490537,0.695,0.178483,1353,2921,4274,Weekend,Mild,8.360539381370861
262,2011-09-19,Fall,0,9,0,1,1,2,0.549167,0.529675,0.69,0.151742,691,3848,4539,Weekday,Mild,8.420682291035394
263,2011-09-20,Fall,0,9,0,2,1,2,0.561667,0.532217,0.88125,0.134954,438,3203,3641,Weekday,Mild,8.200288260287554
264,2011-09-21,Fall,0,9,0,3,1,2,0.595,0.550533,0.9,0.0964042,539,3813,4352,Weekday,Mild,8.378620541552298
265,2011-09-22,Fall,0,9,0,4,1,2,0.628333,0.554963,0.902083,0.128125,555,4240,4795,Weekday,Warm,8.475537516147405
266,2011-09-23,Winter,0,9,0,5,1,2,0.609167,0.522125,0.9725,0.0783667,258,2137,2395,Weekday,Warm,7.78155595923534
267,2011-09-24,Winter,0,9,0,6,0,2,0.606667,0.564412,0.8625,0.0783833,1776,3647,5423,Weekend,Warm,8.598588829620232
268,2011-09-25,Winter,0,9,0,0,0,2,0.634167,0.572637,0.845,0.0503792,1544,3466,5010,Weekend,Warm,8.519390774959724
269,2011-09-26,Winter,0,9,0,1,1,2,0.649167,0.589042,0.848333,0.1107,684,3946,4630,Weekday,Warm,8.440528106480752
270,2011-09-27,Winter,0,9,0,2,1,2,0.636667,0.574525,0.885417,0.118171,477,3643,4120,Weekday,Warm,8.323851131338817
271,2011-09-28,Winter,0,9,0,3,1,2,0.635,0.575158,0.84875,0.148629,480,3427,3907,Weekday,Warm,8.270781013162674
272,2011-09-29,Winter,0,9,0,4,1,1,0.616667,0.574512,0.699167,0.172883,653,4186,4839,Weekday,Warm,8.484669999710677
273,2011-09-30,Winter,0,9,0,5,1,1,0.564167,0.544829,0.6475,0.206475,830,4372,5202,Weekday,Mild,8.556990661290303
274,2011-10-01,Winter,0,10,0,6,0,2,0.41,0.412863,0.75375,0.292296,480,1949,2429,Weekend,Mild,7.795646536334594
275,2011-10-02,Winter,0,10,0,0,0,2,0.356667,0.345317,0.791667,0.222013,616,2302,2918,Weekend,Mild,7.978996370854115
276,2011-10-03,Winter,0,10,0,1,1,2,0.384167,0.392046,0.760833,0.0833458,330,3240,3570,Weekday,Mild,8.18060094759445
277,2011-10-04,Winter,0,10,0,2,1,1,0.484167,0.472858,0.71,0.205854,486,3970,4456,Weekday,Mild,8.402231172946555
278,2011-10-05,Winter,0,10,0,3,1,1,0.538333,0.527138,0.647917,0.17725,559,4267,4826,Weekday,Mild,8.481980435660493
279,2011-10-06,Winter,0,10,0,4,1,1,0.494167,0.480425,0.620833,0.134954,639,4126,4765,Weekday,Mild,8.469262657658687
280,2011-10-07,Winter,0,10,0,5,1,1,0.510833,0.504404,0.684167,0.0223917,949,4036,4985,Weekday,Mild,8.514389264083503
281,2011-10-08,Winter,0,10,0,6,0,1,0.521667,0.513242,0.70125,0.0454042,2235,3174,5409,Weekend,Mild,8.596004371840527
282,2011-10-09,Winter,0,10,0,0,0,1,0.540833,0.523983,0.7275,0.06345,2397,3114,5511,Weekend,Mild,8.614682812693495
283,2011-10-10,Winter,0,10,1,1,0,1,0.570833,0.542925,0.73375,0.0423042,1514,3603,5117,Weekday,Mild,8.540519016719735
284,2011-10-11,Winter,0,10,0,2,1,2,0.566667,0.546096,0.80875,0.143042,667,3896,4563,Weekday,Mild,8.425954710981966
285,2011-10-12,Winter,0,10,0,3,1,3,0.543333,0.517717,0.90625,0.24815,217,2199,2416,Weekday,Mild,7.790282380703483
286,2011-10-13,Winter,0,10,0,4,1,2,0.589167,0.551804,0.896667,0.141787,290,2623,2913,Weekday,Mild,7.97728198675515
287,2011-10-14,Winter,0,10,0,5,1,2,0.550833,0.529675,0.71625,0.223883,529,3115,3644,Weekday,Mild,8.201111644442758
288,2011-10-15,Winter,0,10,0,6,0,1,0.506667,0.498725,0.483333,0.258083,1899,3318,5217,Weekend,Mild,8.559869465696673
289,2011-10-16,Winter,0,10,0,0,0,1,0.511667,0.503154,0.486667,0.281717,1748,3293,5041,Weekend,Mild,8.525558107747866
290,2011-10-17,Winter,0,10,0,1,1,1,0.534167,0.510725,0.579583,0.175379,713,3857,4570,Weekday,Mild,8.427487278331744
291,2011-10-18,Winter,0,10,0,2,1,2,0.5325,0.522721,0.701667,0.110087,637,4111,4748,Weekday,Mild,8.465689348549121
292,2011-10-19,Winter,0,10,0,3,1,3,0.541739,0.513848,0.895217,0.243339,254,2170,2424,Weekday,Mild,7.793586803371584
293,2011-10-20,Winter,0,10,0,4,1,1,0.475833,0.466525,0.63625,0.422275,471,3724,4195,Weekday,Mild,8.341886969516187
294,2011-10-21,Winter,0,10,0,5,1,1,0.4275,0.423596,0.574167,0.221396,676,3628,4304,Weekday,Mild,8.367532416861831
295,2011-10-22,Winter,0,10,0,6,0,1,0.4225,0.425492,0.629167,0.0926667,1499,2809,4308,Weekend,Mild,8.368461137615839
296,2011-10-23,Winter,0,10,0,0,0,1,0.421667,0.422333,0.74125,0.0995125,1619,2762,4381,Weekend,Mild,8.385260520155413
297,2011-10-24,Winter,0,10,0,1,1,1,0.463333,0.457067,0.772083,0.118792,699,3488,4187,Weekday,Mild,8.339978571990427
298,2011-10-25,Winter,0,10,0,2,1,1,0.471667,0.463375,0.622917,0.166658,695,3992,4687,Weekday,Mild,8.452761331256848
299,2011-10-26,Winter,0,10,0,3,1,2,0.484167,0.472846,0.720417,0.148642,404,3490,3894,Weekday,Mild,8.267448958304849
300,2011-10-27,Winter,0,10,0,4,1,2,0.47,0.457046,0.812917,0.197763,240,2419,2659,Weekday,Mild,7.886081401775745
301,2011-10-28,Winter,0,10,0,5,1,2,0.330833,0.318812,0.585833,0.229479,456,3291,3747,Weekday,Mild,8.228977643358313
302,2011-10-29,Winter,0,10,0,6,0,3,0.254167,0.227913,0.8825,0.351371,57,570,627,Weekend,Cold,6.4425401664681985
303,2011-10-30,Winter,0,10,0,0,0,1,0.319167,0.321329,0.62375,0.176617,885,2446,3331,Weekend,Mild,8.111328003286733
304,2011-10-31,Winter,0,10,0,1,1,1,0.34,0.356063,0.703333,0.10635,362,3307,3669,Weekday,Mild,8.207946941048617
305,2011-11-01,Winter,0,11,0,2,1,1,0.400833,0.397088,0.68375,0.135571,410,3658,4068,Weekday,Mild,8.31115254800169
306,2011-11-02,Winter,0,11,0,3,1,1,0.3775,0.390133,0.71875,0.0820917,370,3816,4186,Weekday,Mild,8.339739766019143
307,2011-11-03,Winter,0,11,0,4,1,1,0.408333,0.405921,0.702083,0.136817,318,3656,3974,Weekday,Mild,8.287780027088433
308,2011-11-04,Winter,0,11,0,5,1,2,0.403333,0.403392,0.6225,0.271779,470,3576,4046,Weekday,Mild,8.305731144875866
309,2011-11-05,Winter,0,11,0,6,0,1,0.326667,0.323854,0.519167,0.189062,1156,2770,3926,Weekend,Mild,8.27563105457801
310,2011-11-06,Winter,0,11,0,0,0,1,0.348333,0.362358,0.734583,0.0920542,952,2697,3649,Weekend,Mild,8.202482446576537
311,2011-11-07,Winter,0,11,0,1,1,1,0.395,0.400871,0.75875,0.057225,373,3662,4035,Weekday,Mild,8.3030093814735
312,2011-11-08,Winter,0,11,0,2,1,1,0.408333,0.412246,0.721667,0.0690375,376,3829,4205,Weekday,Mild,8.344267356262645
313,2011-11-09,Winter,0,11,0,3,1,1,0.4,0.409079,0.758333,0.0621958,305,3804,4109,Weekday,Mild,8.32117830749028
314,2011-11-10,Winter,0,11,0,4,1,2,0.38,0.373721,0.813333,0.189067,190,2743,2933,Weekday,Mild,7.984121958702927
315,2011-11-11,Winter,0,11,1,5,0,1,0.324167,0.306817,0.44625,0.314675,440,2928,3368,Weekday,Mild,8.122371243406553
316,2011-11-12,Winter,0,11,0,6,0,1,0.356667,0.357942,0.552917,0.212062,1275,2792,4067,Weekend,Mild,8.31090675716845
317,2011-11-13,Winter,0,11,0,0,0,1,0.440833,0.43055,0.458333,0.281721,1004,2713,3717,Weekend,Mild,8.220941168281389
318,2011-11-14,Winter,0,11,0,1,1,1,0.53,0.524612,0.587083,0.306596,595,3891,4486,Weekday,Mild,8.408939605975984
319,2011-11-15,Winter,0,11,0,2,1,2,0.53,0.507579,0.68875,0.199633,449,3746,4195,Weekday,Mild,8.341886969516187
320,2011-11-16,Winter,0,11,0,3,1,3,0.456667,0.451988,0.93,0.136829,145,1672,1817,Weekday,Mild,7.505492274737424
321,2011-11-17,Winter,0,11,0,4,1,2,0.341667,0.323221,0.575833,0.305362,139,2914,3053,Weekday,Mild,8.024207485778577
322,2011-11-18,Winter,0,11,0,5,1,1,0.274167,0.272721,0.41,0.168533,245,3147,3392,Weekday,Cold,8.129469764784231
323,2011-11-19,Winter,0,11,0,6,0,1,0.329167,0.324483,0.502083,0.224496,943,2720,3663,Weekend,Mild,8.20631072579402
324,2011-11-20,Winter,0,11,0,0,0,2,0.463333,0.457058,0.684583,0.18595,787,2733,3520,Weekend,Mild,8.166500319155052
325,2011-11-21,Winter,0,11,0,1,1,3,0.4475,0.445062,0.91,0.138054,220,2545,2765,Weekday,Mild,7.925157512224704
326,2011-11-22,Winter,0,11,0,2,1,3,0.416667,0.421696,0.9625,0.118792,69,1538,1607,Weekday,Mild,7.382746449738912
327,2011-11-23,Winter,0,11,0,3,1,2,0.440833,0.430537,0.757917,0.335825,112,2454,2566,Weekday,Mild,7.8504931808711405
328,2011-11-24,Winter,0,11,1,4,0,1,0.373333,0.372471,0.549167,0.167304,560,935,1495,Weekday,Mild,7.310550158534422
329,2011-11-25,Winter,0,11,0,5,1,1,0.375,0.380671,0.64375,0.0988958,1095,1697,2792,Weekday,Mild,7.934871565945176
330,2011-11-26,Winter,0,11,0,6,0,1,0.375833,0.385087,0.681667,0.0684208,1249,1819,3068,Weekend,Mild,8.029107054619736
331,2011-11-27,Winter,0,11,0,0,0,1,0.459167,0.4558,0.698333,0.208954,810,2261,3071,Weekend,Mild,8.030084094267563
332,2011-11-28,Winter,0,11,0,1,1,1,0.503478,0.490122,0.743043,0.142122,253,3614,3867,Weekday,Mild,8.260492856573185
333,2011-11-29,Winter,0,11,0,2,1,2,0.458333,0.451375,0.830833,0.258092,96,2818,2914,Weekday,Mild,7.977625098784593
334,2011-11-30,Winter,0,11,0,3,1,1,0.325,0.311221,0.613333,0.271158,188,3425,3613,Weekday,Mild,8.192570471152173
335,2011-12-01,Winter,0,12,0,4,1,1,0.3125,0.305554,0.524583,0.220158,182,3545,3727,Weekday,Mild,8.223627175805483
336,2011-12-02,Winter,0,12,0,5,1,1,0.314167,0.331433,0.625833,0.100754,268,3672,3940,Weekday,Mild,8.279189777195004
337,2011-12-03,Winter,0,12,0,6,0,1,0.299167,0.310604,0.612917,0.0957833,706,2908,3614,Weekend,Cold,8.192847134592865
338,2011-12-04,Winter,0,12,0,0,0,1,0.330833,0.3491,0.775833,0.0839583,634,2851,3485,Weekend,Mild,8.156510226079966
339,2011-12-05,Winter,0,12,0,1,1,2,0.385833,0.393925,0.827083,0.0622083,233,3578,3811,Weekday,Mild,8.245909264774093
340,2011-12-06,Winter,0,12,0,2,1,3,0.4625,0.4564,0.949583,0.232583,126,2468,2594,Weekday,Mild,7.861341795599989
341,2011-12-07,Winter,0,12,0,3,1,3,0.41,0.400246,0.970417,0.266175,50,655,705,Weekday,Mild,6.559615237493242
342,2011-12-08,Winter,0,12,0,4,1,1,0.265833,0.256938,0.58,0.240058,150,3172,3322,Weekday,Cold,8.108623268354595
343,2011-12-09,Winter,0,12,0,5,1,1,0.290833,0.317542,0.695833,0.0827167,261,3359,3620,Weekday,Cold,8.19450550976564
344,2011-12-10,Winter,0,12,0,6,0,1,0.275,0.266412,0.5075,0.233221,502,2688,3190,Weekend,Cold,8.068089626278244
345,2011-12-11,Winter,0,12,0,0,0,1,0.220833,0.253154,0.49,0.0665417,377,2366,2743,Weekend,Cold,7.917171988845776
346,2011-12-12,Winter,0,12,0,1,1,1,0.238333,0.270196,0.670833,0.06345,143,3167,3310,Weekday,Cold,8.105005537547246
347,2011-12-13,Winter,0,12,0,2,1,1,0.2825,0.301138,0.59,0.14055,155,3368,3523,Weekday,Cold,8.16735198705607
348,2011-12-14,Winter,0,12,0,3,1,2,0.3175,0.338362,0.66375,0.0609583,178,3562,3740,Weekday,Mild,8.227108234348146
349,2011-12-15,Winter,0,12,0,4,1,2,0.4225,0.412237,0.634167,0.268042,181,3528,3709,Weekday,Mild,8.21878715560148
350,2011-12-16,Winter,0,12,0,5,1,2,0.375,0.359825,0.500417,0.260575,178,3399,3577,Weekday,Mild,8.182559264068665
351,2011-12-17,Winter,0,12,0,6,0,2,0.258333,0.249371,0.560833,0.243167,275,2464,2739,Weekend,Cold,7.915713199382116
352,2011-12-18,Winter,0,12,0,0,0,1,0.238333,0.245579,0.58625,0.169779,220,2211,2431,Weekend,Cold,7.796469243086058
353,2011-12-19,Winter,0,12,0,1,1,1,0.276667,0.280933,0.6375,0.172896,260,3143,3403,Weekday,Cold,8.132706489693264
354,2011-12-20,Winter,0,12,0,2,1,2,0.385833,0.396454,0.595417,0.0615708,216,3534,3750,Weekday,Mild,8.229777750081887
355,2011-12-21,Spring,0,12,0,3,1,2,0.428333,0.428017,0.858333,0.2214,107,2553,2660,Weekday,Mild,7.886457270977689
356,2011-12-22,Spring,0,12,0,4,1,2,0.423333,0.426121,0.7575,0.047275,227,2841,3068,Weekday,Mild,8.029107054619736
357,2011-12-23,Spring,0,12,0,5,1,1,0.373333,0.377513,0.68625,0.274246,163,2046,2209,Weekday,Mild,7.700747794511798
358,2011-12-24,Spring,0,12,0,6,0,1,0.3025,0.299242,0.5425,0.190304,155,856,1011,Weekend,Mild,6.919683849847411
359,2011-12-25,Spring,0,12,0,0,0,1,0.274783,0.279961,0.681304,0.155091,303,451,754,Weekend,Cold,6.626717749249025
360,2011-12-26,Spring,0,12,1,1,0,1,0.321739,0.315535,0.506957,0.239465,430,887,1317,Weekday,Mild,7.183870715062453
361,2011-12-27,Spring,0,12,0,2,1,2,0.325,0.327633,0.7625,0.18845,103,1059,1162,Weekday,Mild,7.0587581525186645
362,2011-12-28,Spring,0,12,0,3,1,1,0.29913,0.279974,0.503913,0.293961,255,2047,2302,Weekday,Cold,7.741967899820685
363,2011-12-29,Spring,0,12,0,4,1,1,0.248333,0.263892,0.574167,0.119412,254,2169,2423,Weekday,Cold,7.793174347189205
364,2011-12-30,Spring,0,12,0,5,1,1,0.311667,0.318812,0.636667,0.134337,491,2508,2999,Weekday,Mild,8.006367567650246
365,2011-12-31,Spring,0,12,0,6,0,1,0.41,0.414121,0.615833,0.220154,665,1820,2485,Weekend,Mild,7.818430272070656
366,2012-01-01,Spring,1,1,0,0,0,1,0.37,0.375621,0.6925,0.192167,686,1608,2294,Weekend,Mild,7.738488122494646
367,2012-01-02,Spring,1,1,1,1,0,1,0.273043,0.252304,0.381304,0.329665,244,1707,1951,Weekday,Cold,7.5766097669730375
368,2012-01-03,Spring,1,1,0,2,1,1,0.15,0.126275,0.44125,0.365671,89,2147,2236,Weekday,Cold,7.71289096149013
369,2012-01-04,Spring,1,1,0,3,1,2,0.1075,0.119337,0.414583,0.1847,95,2273,2368,Weekday,Cold,7.7702232041587855
370,2012-01-05,Spring,1,1,0,4,1,1,0.265833,0.278412,0.524167,0.129987,140,3132,3272,Weekday,Cold,8.09346227450118
371,2012-01-06,Spring,1,1,0,5,1,1,0.334167,0.340267,0.542083,0.167908,307,3791,4098,Weekday,Mild,8.318498320504338
372,2012-01-07,Spring,1,1,0,6,0,1,0.393333,0.390779,0.531667,0.174758,1070,3451,4521,Weekend,Mild,8.416709652837914
373,2012-01-08,Spring,1,1,0,0,0,1,0.3375,0.340258,0.465,0.191542,599,2826,3425,Weekend,Mild,8.139148678884066
374,2012-01-09,Spring,1,1,0,1,1,2,0.224167,0.247479,0.701667,0.0989,106,2270,2376,Weekday,Cold,7.773594467360194
375,2012-01-10,Spring,1,1,0,2,1,1,0.308696,0.318826,0.646522,0.187552,173,3425,3598,Weekday,Mild,8.188411308079031
376,2012-01-11,Spring,1,1,0,3,1,2,0.274167,0.282821,0.8475,0.131221,92,2085,2177,Weekday,Cold,7.686162303492906
377,2012-01-12,Spring,1,1,0,4,1,2,0.3825,0.381938,0.802917,0.180967,269,3828,4097,Weekday,Mild,8.318254328798846
378,2012-01-13,Spring,1,1,0,5,1,1,0.274167,0.249362,0.5075,0.378108,174,3040,3214,Weekday,Cold,8.07558263667172
379,2012-01-14,Spring,1,1,0,6,0,1,0.18,0.183087,0.4575,0.187183,333,2160,2493,Weekend,Cold,7.821643126239982
380,2012-01-15,Spring,1,1,0,0,0,1,0.166667,0.161625,0.419167,0.251258,284,2027,2311,Weekend,Cold,7.7458682297922685
381,2012-01-16,Spring,1,1,1,1,0,1,0.19,0.190663,0.5225,0.231358,217,2081,2298,Weekday,Cold,7.740229524763182
382,2012-01-17,Spring,1,1,0,2,1,2,0.373043,0.364278,0.716087,0.34913,127,2808,2935,Weekday,Mild,7.984803389734406
383,2012-01-18,Spring,1,1,0,3,1,1,0.303333,0.275254,0.443333,0.415429,109,3267,3376,Weekday,Mild,8.124743020385568
384,2012-01-19,Spring,1,1,0,4,1,1,0.19,0.190038,0.4975,0.220158,130,3162,3292,Weekday,Cold,8.099554282376364
385,2012-01-20,Spring,1,1,0,5,1,2,0.2175,0.220958,0.45,0.20275,115,3048,3163,Weekday,Cold,8.059592328887545
386,2012-01-21,Spring,1,1,0,6,0,2,0.173333,0.174875,0.83125,0.222642,67,1234,1301,Weekend,Cold,7.171656822768514
387,2012-01-22,Spring,1,1,0,0,0,2,0.1625,0.16225,0.79625,0.199638,196,1781,1977,Weekend,Cold,7.589841512182657
388,2012-01-23,Spring,1,1,0,1,1,2,0.218333,0.243058,0.91125,0.110708,145,2287,2432,Weekday,Cold,7.796880342783522
389,2012-01-24,Spring,1,1,0,2,1,1,0.3425,0.349108,0.835833,0.123767,439,3900,4339,Weekday,Mild,8.375629627094451
390,2012-01-25,Spring,1,1,0,3,1,1,0.294167,0.294821,0.64375,0.161071,467,3803,4270,Weekday,Cold,8.359603270841466
391,2012-01-26,Spring,1,1,0,4,1,2,0.341667,0.35605,0.769583,0.0733958,244,3831,4075,Weekday,Mild,8.312871394342615
392,2012-01-27,Spring,1,1,0,5,1,2,0.425,0.415383,0.74125,0.342667,269,3187,3456,Weekday,Mild,8.148156439921625
393,2012-01-28,Spring,1,1,0,6,0,1,0.315833,0.326379,0.543333,0.210829,775,3248,4023,Weekend,Mild,8.300031711779575
394,2012-01-29,Spring,1,1,0,0,0,1,0.2825,0.272721,0.31125,0.24005,558,2685,3243,Weekend,Cold,8.084562415235304
395,2012-01-30,Spring,1,1,0,1,1,1,0.269167,0.262625,0.400833,0.215792,126,3498,3624,Weekday,Cold,8.195609567288775
396,2012-01-31,Spring,1,1,0,2,1,1,0.39,0.381317,0.416667,0.261817,324,4185,4509,Weekday,Mild,8.414052432496725
